date,prc_QTEC,prc_XLK,ret_QTEC,ret_XLK,ret_diff
2011-05-12,0.10465131967579029,0.07560595532544166,0.5077814682272477,0.5256221966419243,-0.0013090000000000003
2011-05-13,0.10212888023046883,0.07377139905651552,0.41577704977567287,0.4540294381917055,0.0031719999999999995
2011-05-16,0.09931313387290074,0.07165887971653993,0.40793505481452347,0.4466572604944375,0.0032019999999999983
2011-05-17,0.09866785866595802,0.07165887971653993,0.45887586723460927,0.4984790147335299,0.004097
2011-05-18,0.10113163672883015,0.07271513938652772,0.5337928321215377,0.5247669807269696,-0.008421999999999999
2011-05-19,0.10101431396393147,0.07299310245757716,0.47159026427485196,0.5053460015949597,0.002639
2011-05-20,0.1004277001394381,0.0721536539830079,0.4604344306325801,0.47777701598207295,-0.002052
2011-05-23,0.09755329239942066,0.0701022865186632,0.40582418496969885,0.4475954720467085,0.004020000000000001
2011-05-24,0.09649738751533261,0.06965754560498412,0.4487262905434545,0.48728903771971294,0.0036789999999999995
2011-05-25,0.09720132410472464,0.0701022865186632,0.4915905669085215,0.5097014683010793,-0.0014410000000000004
2011-05-26,0.09896116557820471,0.07104736096023122,0.5172160728741877,0.5222554605716595,-0.004736
2011-05-27,0.10025171599209011,0.0717700649449597,0.5054398402094226,0.5165431956207172,-0.0032060000000000005
2011-05-31,0.10242218714271552,0.07377139905651552,0.5261967270168644,0.5482511375815071,9.400000000000033e-05
2011-06-01,0.09813990622391401,0.07071380527497191,0.3735142578287548,0.42347260963543265,0.005876000000000003
2011-06-02,0.09855053590105935,0.07082499050339168,0.4843122271568324,0.5012647813425808,-0.0018549999999999999
2011-06-03,0.09555880539614324,0.06865687854920623,0.40216988341037885,0.4442034764346518,0.004045999999999999
2011-06-06,0.09397494807001118,0.06760061887921844,0.43540662616419396,0.4716353388206681,0.002861999999999999
2011-06-07,0.09403947559070545,0.06715587796553936,0.475978452482731,0.4870905698913479,-0.00358
2011-06-08,0.09180447691938577,0.06621080352397136,0.41883364983771276,0.4742045950715026,0.007955
2011-06-09,0.09198046106673378,0.06632198875239113,0.47881186021350813,0.5013549939918376,-0.00037600000000000003
2011-06-10,0.08986865129855769,0.06437624725504519,0.4211752778555379,0.4482017010497144,0.00013000000000000164
2011-06-13,0.08887140779691897,0.06448743248346496,0.44889652198255325,0.5013910790515403,0.007542
2011-06-14,0.09104187894754441,0.06621080352397136,0.5302066231378573,0.5436033818917954,-0.002253999999999999
2011-06-15,0.08799148706017897,0.06359795065610681,0.3970515914748096,0.4309097404401656,0.0017150000000000012
2011-06-16,0.08640762973404688,0.06326439497084753,0.43338654642022206,0.48968869418994454,0.008399
2011-06-17,0.0849410951728135,0.06256948729322397,0.4360081105823429,0.4945457432259322,0.009052
2011-06-20,0.08552770899730684,0.06311151528177035,0.4898769037549273,0.5128733450489494,-0.00010899999999999972
