date,XLK,QTEC,beta,spread
2020-11-09,120.7,126.56,0.9419455897536001,1.4873661607843758
2020-11-10,118.45,123.04,0.9449287890549619,2.185961794677482
2020-11-11,121.26,126.37,0.946130421775246,1.6974986002621648
2020-11-12,120.18,125.24,0.946900531979832,1.590177374845851
2020-11-13,121.2,126.62,0.9466755427392374,1.3319427783577567
2020-11-16,122.37,128.16,0.945772489240716,1.159797778909848
2020-11-17,121.69,127.56,0.9448838586569854,1.1606149897149294
2020-11-18,120.39,126.2,0.9442536826353298,1.2251852514213795
2020-11-19,121.36,127.94,0.9420742524546483,0.8310201409523046
2020-11-20,120.11,127.07,0.9395149854123266,0.7258308036556684
2020-11-23,120.08,127.67,0.9362524932654772,0.5486441847965153
2020-11-24,121.75,128.86,0.9355095770028696,1.2002359074102031
2020-11-25,122.01,128.98,0.935399863632048,1.362125588738465
2020-11-27,122.66,130.53999,0.9332231619817851,0.8370577671293944
2020-11-30,123.48,131.46001,0.9316869849247045,1.000419644928499
2020-12-01,125.06,132.85001,0.9314133689705238,1.3217246181322224
2020-12-02,124.87,133.35001,0.9295409729445849,0.9157019624298783
2020-12-03,124.79,132.94,0.9290926396393088,1.2764244863502938
2020-12-04,126.04,135.52119,0.9258250075297126,0.5710932478144031
2020-12-07,126.4,135.78999,0.9239992972809674,0.9301446622104237
2020-12-08,126.81,136.56,0.9220379060902459,0.896503544316019
2020-12-09,124.38,133.36,0.9220999800757227,1.4087466571016023
2020-12-10,124.56,133.47,0.9223418955821201,1.4550271966544273
2020-12-11,124.3,132.99001,0.9229684705342902,1.55441387396003
2020-12-14,124.75,134.39999,0.9211950280283746,0.941397444936726
2020-12-15,126.83,136.1779,0.9211715586531719,1.3867916028842302
2020-12-16,127.69,137.00999,0.9213967095711917,1.4494460356181378
2020-12-17,128.7,137.85001,0.9221477590562991,1.5819221926115716
2020-12-18,128.25,137.94,0.9212694527734367,1.170091684432137
2020-12-21,128.08,137.73,0.9207618297204467,1.2634731926028877
2020-12-22,129.19,138.6618,0.9210756680412994,1.4719899331909545
2020-12-23,128.21001,137.3,0.921973968125694,1.6229841763422144
2020-12-24,129.06,137.88,0.9233646688163649,1.7464794635996128
2020-12-28,130.52,137.25999,0.9294351395246764,2.9457420431943433
2020-12-29,129.89999,136.64999,0.9332489783022235,2.371526447490936
2020-12-30,129.83,138.10001,0.9321113553036814,1.1054125114480655
2020-12-31,130.02,138.07001,0.9319333293071301,1.3479559032312523
2021-01-04,127.9,136.64999,0.9297960105205776,0.843384460323179
2021-01-05,128.73,138.17,0.9268999053216113,0.6602400817129706
2021-01-06,126.51,136.13,0.9242059377222213,0.6978456978740297
2021-01-07,129.92,140.52,0.9207495218217595,0.5362771936063382
2021-01-08,130.75999,141.97,0.9172842172454375,0.5331496776652216
2021-01-11,129.67999,141.57001,0.9132818441538824,0.3866701903164369
2021-01-12,129.06,142.31,0.9074260940847004,-0.07580744919371796
2021-01-13,129.88,142.49001,0.9053600605264069,0.8752359219916457
2021-01-14,128.74001,143.45,0.8989399700711922,-0.2129287067124892
2021-01-15,127.42,141.48,0.8960220545401297,0.650799723662459
2021-01-19,129.08,145.06,0.8901786703737733,-0.049317924419540304
2021-01-20,131.64,146.09,0.8906774159491774,1.520936303984655
2021-01-21,133.34,146.7,0.8939144912166479,2.2027441385177724
2021-01-22,132.83,145.52,0.8973089673607181,2.2535990696682973
2021-01-25,133.94,145.57001,0.9021446626399343,2.6147924380581458
2021-01-26,134.03,144.27,0.9083699270765742,2.9794706206626245
2021-01-27,131.5,138.34,0.9193755234460983,4.3135900864667605
2021-01-28,132.03999,141.06,0.9217850093320596,2.012996583619639
2021-01-29,128.92999,138.92999,0.9204353710796606,1.053913100256466
2021-02-01,132.16,143.41,0.9172572360594614,0.6161397767126289
2021-02-02,133.95,146.47,0.9126465148170749,0.2746649747430183
2021-02-03,133.49001,143.89,0.9145746166275015,1.891868413468842
2021-02-04,135.62,145.95,0.9164349652517033,1.8663168215139194
2021-02-05,135.32001,146.33,0.915967660206093,1.2864622820424074
2021-02-08,136.74001,148.58,0.9140499604944973,0.93046686972761
2021-02-09,136.58,149.35001,0.9106804447607689,0.5698664681747232
2021-02-10,136.38,150.17999,0.9061794437357846,0.28998020155430027
2021-02-11,137.88,153.5,0.8995635569312952,-0.20300598895380517
2021-02-12,138.59,155.12,0.8936509923026105,-0.03314192598094223
2021-02-16,138.14,155.38,0.8883562631217071,0.10720383614912521
2021-02-17,136.92,152.99001,0.8873698236000297,1.1612818137332113
2021-02-18,136.25,151.5,0.8883709696010059,1.661798105447616
2021-02-19,136.05,154.0,0.8829532779965563,0.07519518853032992
2021-02-22,133.05,148.73,0.8837387231128709,1.6115397114227221
2021-02-23,132.67999,147.74001,0.8854928289114692,1.8572706016912548
2021-02-24,134.71001,150.32001,0.8859763134526194,1.5300417020391421
