date,X,Y,beta,spread,spread_z,ret_X,ret_Y,spread_lag1,spread_lag2,ret_X_lag1,ret_Y_lag1,target
2007-01-17,23.66,20.58,1.100730964704879,1.0069567463735891,-0.7856764693702013,-0.012932832707551078,-0.008001542466017586,1.122727711937788,0.9950013332839234,-0.002081598667776907,-0.007843137254902044,-1
2007-01-18,23.39,19.94,1.1023479490179475,1.409181896582126,13.635626024194229,-0.011411665257819115,-0.031098153547132967,1.0069567463735891,1.122727711937788,-0.012932832707551078,-0.008001542466017586,-1
2007-01-19,23.38,20.01,1.1033366102200348,1.302234429497101,9.801152289883884,-0.00042753313381793667,0.0035105315947843163,1.409181896582126,1.0069567463735891,-0.011411665257819115,-0.031098153547132967,-1
2007-01-22,23.21,19.776,1.1045556539810728,1.3663073868703035,5.265508803743012,-0.007271171941830579,-0.01169415292353837,1.302234429497101,1.409181896582126,-0.00042753313381793667,0.0035105315947843163,-1
2007-01-23,23.21,19.78,1.1056053132680843,1.341126903557292,2.1643525969900925,0.0,0.00020226537216827545,1.3663073868703035,1.302234429497101,-0.007271171941830579,-0.01169415292353837,0
2007-01-24,23.63,20.2299,1.1062404574926217,1.250866168970017,0.36755442582220493,0.018095648427401967,0.02274519716885748,1.341126903557292,1.3663073868703035,0.0,0.00020226537216827545,0
2007-01-25,23.34,19.98,1.1067450891643271,1.2272331184967378,-0.09702390184988441,-0.01227253491324587,-0.012353002239259725,1.250866168970017,1.341126903557292,0.018095648427401967,0.02274519716885748,0
2007-01-26,23.35,20.03,1.1070288768006202,1.176211597683576,-0.5754421120686015,0.00042844901456740025,0.0025025025025025016,1.2272331184967378,1.250866168970017,-0.01227253491324587,-0.012353002239259725,0
2007-01-29,23.45,19.956,1.1079417731979757,1.3399139740611972,0.8211256274989475,0.004282655246252487,-0.0036944583125312347,1.176211597683576,1.2272331184967378,0.00042844901456740025,0.0025025025025025016,0
2007-01-30,23.59,20.05,1.1088992748991269,1.3565695382725096,0.6149508319293678,0.005970149253731405,0.004710362798155954,1.3399139740611972,1.176211597683576,0.004282655246252487,-0.0036944583125312347,-1
2007-01-31,23.73,20.096,1.110081830612132,1.4217955320185958,1.519906836965783,0.005934718100890191,0.002294264339152141,1.3565695382725096,1.3399139740611972,0.005970149253731405,0.004710362798155954,1
2007-02-01,23.63,20.17,1.1105365019601932,1.2304787554629009,-1.5695511181197173,-0.004214075010535279,0.0036823248407644726,1.4217955320185958,1.3565695382725096,0.005934718100890191,0.002294264339152141,0
2007-02-02,23.75,20.244,1.1110821055044868,1.2572538561671678,-0.6575508156373576,0.005078290308929478,0.0036688150718888757,1.2304787554629009,1.4217955320185958,-0.004214075010535279,0.0036823248407644726,1
2007-02-05,23.69,20.38,1.1108733283431604,1.050401568366393,-2.48815501288032,-0.002526315789473599,0.006718039913060636,1.2572538561671678,1.2304787554629009,0.005078290308929478,0.0036688150718888757,0
2007-02-06,23.66,20.24,1.1110980743724668,1.1713749747012727,-1.036159409175176,-0.0012663571127058404,-0.006869479882237517,1.050401568366393,1.2572538561671678,-0.002526315789473599,0.006718039913060636,1
2007-02-07,23.77,20.54,1.1105676917509657,0.9589396114351664,-3.2030132677865444,0.004649196956889146,0.014822134387351804,1.1713749747012727,1.050401568366393,-0.0012663571127058404,-0.006869479882237517,1
2007-02-08,23.8,20.566,1.110082689073712,0.970039416510037,-1.6117151146134008,0.0012620950778292617,0.0012658227848101333,0.9589396114351664,1.1713749747012727,0.004649196956889146,0.014822134387351804,0
2007-02-09,23.54,20.25,1.1099324544501337,1.0638677973847912,-0.9468269062140252,-0.010924369747899232,-0.015365165807643688,0.970039416510037,0.9589396114351664,0.0012620950778292617,0.0012658227848101333,0
2007-02-12,23.44,20.1001,1.1100041038729336,1.1288065117436474,-0.2057915984889863,-0.004248088360237823,-0.0074024691358024475,1.0638677973847912,0.970039416510037,-0.010924369747899232,-0.015365165807643688,0
2007-02-13,23.54,20.15,1.1102117402272484,1.1692334344209456,0.21998582464262834,0.00426621160409546,0.0024825747135586163,1.1288065117436474,1.0638677973847912,-0.004248088360237823,-0.0074024691358024475,0
2007-02-14,23.86,20.57,1.109940631365271,1.028521212816372,-0.9168398868239132,0.0135938827527613,0.0208436724565757,1.1692334344209456,1.1288065117436474,0.00426621160409546,0.0024825747135586163,0
2007-02-15,23.95,20.69,1.1095499970900156,0.9934105602075752,-0.8027371487051894,0.0037720033528918506,0.005833738454059434,1.028521212816372,1.1692334344209456,0.0135938827527613,0.0208436724565757,0
2007-02-16,23.9,20.67,1.1090998802762169,0.974905474690594,-0.9636801401992086,-0.0020876826722338038,-0.0009666505558240113,0.9934105602075752,1.028521212816372,0.0037720033528918506,0.005833738454059434,1
2007-02-20,23.91,20.77,1.1083603900811234,0.8893546980150688,-2.3179889635238604,0.00041841004184117736,0.004837929366231064,0.974905474690594,0.9934105602075752,-0.0020876826722338038,-0.0009666505558240113,0
2007-02-21,23.87,20.67,1.107898947894104,0.9697287470288672,-0.41474384417127713,-0.0016729401923880616,-0.004814636494944513,0.8893546980150688,0.974905474690594,0.00041841004184117736,0.004837929366231064,0
2007-02-22,24.0,20.87,1.1071771150715264,0.8932136084572448,-1.4659825601787613,0.005446166736489344,0.009675858732462572,0.9697287470288672,0.8893546980150688,-0.0016729401923880616,-0.004814636494944513,0
2007-02-23,23.98,20.886,1.106387412142091,0.8719925100002968,-1.31453564842067,-0.0008333333333333526,0.0007666506947772156,0.8932136084572448,0.9697287470288672,0.005446166736489344,0.009675858732462572,0
